Time (s),Latitude (°),Longitude (°),Height (m)
49.11191534,36.92217807,140.8007528,11.71742115
50.11191306,36.92217807,140.8007528,11.71742115
51.11191086,36.92217807,140.8007528,11.71742115
52.11190858,36.92217807,140.8007528,11.71742115
53.11190637,36.92217807,140.8007528,11.71742115
54.11190407,36.92217807,140.8007528,11.71742115
55.1119018,36.92218192,140.8007608,11.71745501
56.11189952,36.92219462,140.8007915,10.7175944
57.1118972,36.92221411,140.8008258,11.71772293
58.1118949,36.92224215,140.8008657,10.71784498
59.11189263,36.92227974,140.8009119,9.717960416
60.11189046,36.92231955,140.8009576,8.718060505
61.11188816,36.92236788,140.8010185,9.718218041
62.11188595,36.92241373,140.8010765,9.718369253
63.11188371,36.9224579,140.8011484,9.718621853
64.11188142,36.92250827,140.8012247,9.718872169
65.11187913,36.92255261,140.8013124,9.719228935
66.11187682,36.92259901,140.8013949,8.719540456
67.11187458,36.92264917,140.8014748,8.719815225
68.11187237,36.92269288,140.8015591,8.720152766
69.11187005,36.92274745,140.8016426,9.720428873
70.11186776,36.9228055,140.8017326,9.720730646
71.11186544,36.9228596,140.8018193,9.721030839
72.11186319,36.9229119,140.8019001,9.721300023
73.11186084,36.92296488,140.8019848,9.721592545
74.11185858,36.92301383,140.8020622,9.721856549
75.11185631,36.92306005,140.802139,9.722130622
76.11185397,36.92310498,140.8022244,8.722468901
77.11185156,36.9231492,140.802309,8.722805784
78.11184921,36.9231909,140.8023923,9.723146632
79.1118469,36.92323318,140.8024632,9.723401741
80.11184457,36.92327082,140.8025272,9.723634389
81.11184222,36.92328993,140.8025661,9.723795288
82.11183989,36.92330007,140.8025902,9.723904003
83.11183745,36.92331574,140.8026153,9.723990393
84.11183506,36.92333234,140.8026374,9.724052482
85.11183273,36.92334537,140.8026713,9.724211114
86.11183033,36.92336151,140.8027122,9.724400711
87.111828,36.92336935,140.802759,8.724672116
88.11182556,36.92336084,140.8028099,8.725055576
89.11182321,36.92334533,140.8028709,7.725542105
90.11182085,36.92331453,140.8029316,8.726105147
91.11181843,36.92328326,140.8029892,7.726649906
92.11181605,36.92324596,140.8030526,6.727264299
93.11181361,36.92320774,140.8031284,6.727966151
94.11181127,36.92316688,140.8032092,6.728715146
95.11180884,36.92312174,140.8032957,5.729524735
96.11180647,36.92306982,140.8033892,5.730415138
97.11180407,36.92301584,140.8034842,4.731326216
98.11180165,36.92296618,140.8035728,5.732173195
99.11179923,36.92291811,140.8036674,4.733051128
100.1117968,36.92286417,140.8037667,4.733991178
101.1117944,36.92280705,140.8038678,4.734959417
102.111792,36.92275265,140.8039648,4.735886286
103.1117896,36.9226985,140.8040716,4.736877856
104.1117872,36.92264276,140.8041747,4.73785253
105.1117848,36.92258484,140.8042758,4.738825069
106.1117824,36.92252789,140.8043725,4.739763065
107.1117799,36.92247072,140.8044768,4.740753616
108.1117774,36.92241968,140.8045843,5.741733362
109.111775,36.92236293,140.8046891,5.742724648
110.1117727,36.92230644,140.8047881,5.743676674
111.1117702,36.92224663,140.8048941,5.744691661
112.1117677,36.92218896,140.8050058,5.74573426
113.1117653,36.92213402,140.8051133,5.746734351
114.1117627,36.92207392,140.805219,4.747749895
115.1117603,36.92201102,140.8053246,4.748778299
116.1117579,36.92195226,140.8054307,4.749789273
117.1117554,36.92189354,140.8055378,3.750806794
118.1117529,36.92183278,140.8056477,3.751853419
119.1117504,36.92177402,140.8057667,2.752950679
120.1117479,36.921713,140.8058831,2.75404234
121.1117454,36.92164942,140.8059935,3.755106986
122.111743,36.9215874,140.8061063,2.75617935
123.1117405,36.92152491,140.8062205,3.757264222
124.111738,36.92146213,140.8063361,3.758359619
125.1117356,36.92139495,140.8064504,3.759469406
126.1117331,36.92133711,140.8065656,3.7605366
127.1117307,36.92127425,140.8066744,3.761587303
128.1117282,36.9212136,140.8067924,3.762688133
129.1117257,36.92115187,140.8069026,2.763742622
130.1117232,36.92108423,140.8070144,2.764837762
131.1117208,36.92102497,140.8071305,1.765918764
132.1117183,36.920965,140.8072437,1.766984483
133.1117159,36.92090632,140.8073512,1.768004938
134.1117134,36.9208425,140.8074592,1.769055998
135.1117109,36.92077942,140.8075684,1.770111054
136.1117085,36.92071668,140.8076784,2.771169474
137.111706,36.92065424,140.8077786,2.772161517
138.1117035,36.920592,140.8078821,2.773174358
139.111701,36.92053111,140.8079916,2.77422006
140.1116985,36.92047273,140.8080992,2.775240507
141.111696,36.92040647,140.8082015,2.776265919
142.1116935,36.92033958,140.8083052,2.777304156
143.1116911,36.92027483,140.8084024,2.778288296
144.1116886,36.92021042,140.8085088,2.779331776
145.1116861,36.92015246,140.8086073,1.780289312
146.1116836,36.92009315,140.8087146,2.781313177
147.1116812,36.92003456,140.8088016,2.782197363
148.1116788,36.91999039,140.8088824,2.782965583
149.1116764,36.9199624,140.808941,3.783501771
150.111674,36.91993553,140.808972,2.78384791
151.1116715,36.91991839,140.8090024,2.784139275
152.1116691,36.9199155,140.8090331,2.784359165
153.1116666,36.91992874,140.8090673,2.784519092
154.1116642,36.9199484,140.8090964,2.784612245
155.1116617,36.91998117,140.809128,2.784653759
156.1116593,36.92002296,140.8091639,1.784677196
157.1116569,36.92004856,140.8091981,1.784773128
158.1116544,36.92008121,140.8092269,1.78479679
