Time (s),Yaw (°),Pitch (°),Roll (°)
195.111564,10.10128289,14.01784821,-143.5145717
196.1115615,9.554048534,7.313596743,-120.0628473
197.111559,7.557398321,2.970399309,-131.0543718
198.1115566,5.467476175,3.150229186,-136.6134394
199.1115542,2.385164684,4.498368367,-143.108063
200.1115517,1.962916811,6.816729618,-141.0891876
201.1115493,0.5353752893,11.52585224,-129.9281887
202.1115468,3.477634038,13.95685243,-119.6851302
203.1115443,7.540650888,15.21306967,-101.8072536
204.1115419,7.936500346,9.340389283,-96.18877218
205.1115394,7.20730775,6.064888571,-99.26413359
206.111537,8.551579715,3.620461974,-98.7259546
207.1115345,10.57752447,3.864493538,-109.7928111
208.111532,9.893819524,2.916498351,-108.2504947
209.1115296,10.43169185,3.127255127,-111.760187
210.1115272,9.504396686,3.49771033,-113.9564878
211.1115247,7.597529018,2.792453375,-102.9874302
212.1115222,5.514206061,3.824016635,-113.8640684
213.1115198,9.290237499,3.12934449,-111.5503469
214.1115173,8.999755196,4.066200196,-111.6547604
215.1115148,8.665200276,1.52277372,-112.6653315
216.1115124,7.238253884,1.853210612,-113.3145855
217.11151,6.469737571,2.161794687,-114.796696
218.1115075,5.089364848,1.994811836,-115.4218054
219.111505,5.007961371,3.517825576,-115.5661234
220.1115025,4.988297143,3.354575179,-117.7036553
221.1115001,5.399617761,3.72214512,-118.3021472
222.1114976,4.725256155,3.467498724,-118.7679142
223.1114952,3.825037527,0.687323437,-117.3032853
224.1114927,4.122142546,0.3929366687,-120.7820777
225.1114902,4.726957534,2.533353806,-121.4268347
226.1114878,4.816351163,3.886564285,-121.2806966
227.1114853,4.495475557,2.014032275,-120.9425833
228.1114828,5.177119843,3.794886547,-120.7910446
229.1114803,5.430834814,3.604824397,-122.8432247
230.1114779,5.289260632,3.932614948,-125.2245419
231.1114754,4.240949132,5.256541,-125.1073068
232.1114729,4.540282371,7.005973517,-122.9346826
233.1114703,3.60762811,3.934690864,-123.3499904
234.1114678,2.969840971,2.887073032,-124.2477583
235.1114653,2.998156316,4.25709516,-124.3620723
236.1114628,2.63947209,4.153853118,-123.9487749
237.1114601,1.195348936,4.964661322,-123.3751267
238.1114575,-0.1505596141,5.359340675,-122.9015164
239.1114549,-1.667529408,2.342187628,-123.9463995
240.1114523,-1.452941503,-7.070598167,-134.1279524
241.1114496,0.7152199571,-11.40262292,-154.3204932
242.111447,1.212510024,-5.38397533,-168.8702394
243.1114443,2.260013252,2.231689387,-178.8266037
244.1114417,6.381131531,3.491595231,-172.4928617
245.1114392,6.842263928,2.046438177,-171.2563947
